,earnings_yield_pct,GS10_pct,ERP_trailing_pct
2010-01-31,4.8318766798981825,3.73,1.1018766798981825
2010-02-28,5.289397333725073,3.69,1.5993973337250726
2010-03-31,5.288832949958769,3.73,1.5588329499587688
2010-04-30,5.2606376462989575,3.85,1.4106376462989574
2010-05-31,5.78132129249403,3.42,2.36132129249403
2010-06-30,6.193693693693694,3.2,2.993693693693694
2010-07-31,6.361054516268445,3.01,3.3510545162684453
2010-08-31,6.463223211438942,2.7,3.763223211438942
2010-09-30,6.404177955226009,2.65,3.7541779552260093
2010-10-31,6.289308176100628,2.54,3.7493081761006284
2010-11-30,6.29916005638549,2.76,3.53916005638549
2010-12-31,6.230215943231336,3.29,2.940215943231336
2011-01-31,7.204155000745515,2.15,5.054155000745515
2011-02-28,6.054711154172219,3.58,2.474711154172219
2011-03-31,6.23308726015531,3.41,2.82308726015531
2011-04-30,6.170688416409441,3.46,2.7106884164094414
2011-05-31,6.203096940668954,3.17,3.033096940668954
2011-06-30,6.515237436785807,3.0,3.5152374367858066
2011-07-31,6.407131555978136,3.0,3.407131555978136
2011-08-31,7.250705160112826,2.3,4.950705160112826
2011-09-30,7.4096159743755745,1.98,5.429615974375574
2011-10-31,7.204610951008645,2.15,5.0546109510086445
2011-11-30,7.090556253159603,2.01,5.080556253159603
2011-12-31,6.9933725830840014,1.98,5.013372583084001
2012-01-31,6.016283911291631,1.75,4.266283911291631
2012-02-29,6.507256985264217,1.97,4.537256985264217
2012-03-31,6.373268837637846,2.17,4.203268837637846
2012-04-30,6.371279713604967,2.05,4.321279713604967
2012-05-31,6.570389754983461,1.8,4.770389754983461
2012-06-30,6.643092453229365,1.62,5.023092453229365
2012-07-31,6.430942260267593,1.53,4.900942260267593
2012-08-31,6.197109503960478,1.68,4.517109503960478
2012-09-30,5.992711754028627,1.72,4.272711754028627
2012-10-31,6.016847172081829,1.75,4.266847172081829
2012-11-30,6.203373705937332,1.65,4.553373705937332
2012-12-31,6.082444508503892,1.72,4.362444508503892
2013-01-31,5.599514737146057,2.62,2.979514737146057
2013-02-28,5.772846396131305,1.98,3.792846396131305
2013-03-31,5.655036335381699,1.96,3.6950363353816993
2013-04-30,5.652469175102396,1.76,3.892469175102396
2013-05-31,5.4802094513285855,1.93,3.550209451328586
2013-06-30,5.618463401224386,2.3,3.3184634012243865
2013-07-31,5.518733370088932,2.58,2.938733370088932
2013-08-31,5.58233388619775,2.74,2.84233388619775
2013-09-30,5.593390114807637,2.81,2.7833901148076365
2013-10-31,5.599104143337066,2.62,2.979104143337066
2013-11-30,5.509081190590997,2.72,2.789081190590997
2013-12-31,5.542709843011871,2.9,2.6427098430118714
2014-01-31,5.406749360354176,2.3,3.1067493603541765
2014-02-28,5.538311392888066,2.71,2.8283113928880663
2014-03-31,5.4118013222289,2.72,2.6918013222289
2014-04-30,5.450241203837805,2.71,2.7402412038378055
2014-05-31,5.416708558889884,2.56,2.8567085588898835
2014-06-30,5.296108551736181,2.6,2.6961085517361805
2014-07-31,5.274272295710642,2.54,2.7342722957106416
2014-08-31,5.353644009183308,2.42,2.9336440091833085
2014-09-30,5.315994641862704,2.53,2.7859946418627044
2014-10-31,5.405405405405405,2.3,3.1054054054054054
2014-11-30,5.063493383286787,2.33,2.7334933832867874
2014-12-31,4.980357986048571,2.21,2.7703579860485714
2015-01-31,4.409467225731468,2.07,2.3394672257314686
2015-02-28,4.815579675343387,1.98,2.835579675343387
2015-03-31,4.771657556045943,2.04,2.731657556045943
2015-04-30,4.668728856980101,1.94,2.728728856980101
2015-05-31,4.5624717873929495,2.2,2.3624717873929493
2015-06-30,4.521052355796483,2.36,2.161052355796483
2015-07-31,4.464521633383315,2.32,2.1445216333833153
2015-08-31,4.513849738790544,2.17,2.343849738790544
2015-09-30,4.662596880287594,2.17,2.4925968802875937
2015-10-31,4.409171075837743,2.07,2.339171075837743
2015-11-30,4.225022669524789,2.26,1.9650226695247897
2015-12-31,4.212591525159683,2.24,1.9725915251596824
2016-01-31,4.242144263702625,1.76,2.482144263702625
