,NAV_2Q-DEC
2012-01-31,1.045106012597075
2012-02-29,1.0980905825808134
2012-03-31,1.0542356109700506
2012-04-30,1.0799965653985166
2012-05-31,1.054773996601187
2012-06-30,1.0296341990418472
2012-07-31,1.0113668326643086
2012-08-31,1.0050900751799807
2012-09-30,1.0320971258494231
2012-10-31,1.0205653118583118
2012-11-30,1.0145543579337455
2012-12-31,1.0869270171359489
2013-01-31,1.114446091925456
2013-02-28,1.11092511109586
2013-03-31,1.0892544820674361
2013-04-30,1.0919344140268281
2013-05-31,1.1116065365143706
2013-06-30,1.0324528878436727
2013-07-31,1.0424896523016822
2013-08-31,1.0578929983136467
2013-09-30,1.088627067480269
2013-10-31,1.0993692739480125
2013-11-30,1.1133532681262106
2013-12-31,1.096437491560375
2014-01-31,1.0714527503624893
2014-02-28,1.0911766523106325
2014-03-31,1.0955927806149557
2014-04-30,1.096205956080186
2014-05-31,1.1155779032721245
2014-06-30,1.131981121873
2014-07-31,1.1585868328046802
2014-08-31,1.1686579412426052
2014-09-30,1.1709223682716732
2014-10-31,1.1852281836983243
2014-11-30,1.2440120085223312
2014-12-31,1.351886472118022
2015-01-31,1.355825668470061
2015-02-28,1.3922171901870564
2015-03-31,1.409027953657829
2015-04-30,1.4782033210953525
2015-05-31,1.475028424493785
2015-06-30,1.4199808876550235
2015-07-31,1.3914526368701177
2015-08-31,1.3177342393240754
2015-09-30,1.2856267985926215
2015-10-31,1.359437071041638
2015-11-30,1.3515147437560548
2015-12-31,1.3315680132886156
2016-01-31,1.2720535415446466
2016-02-29,1.2650780914092687
2016-03-31,1.3317415802977344
2016-04-30,1.3192933560765203
2016-05-31,1.3344196272888211
2016-06-30,1.3271543726921242
2016-07-31,1.3767230142507332
2016-08-31,1.398838984560623
2016-09-30,1.3944447823225299
2016-10-31,1.4125813114306351
2016-11-30,1.421761243998435
2016-12-31,1.4393435229290983
2017-01-31,1.4647867345466672
2017-02-28,1.4969843589883567
2017-03-31,1.5054045315437194
2017-04-30,1.5214443018479757
2017-05-31,1.546684299389226
2017-06-30,1.5616640460971292
2017-07-31,1.576437883717331
2017-08-31,1.5851905467546197
2017-09-30,1.5974669560729828
2017-10-31,1.6565839449182966
2017-11-30,1.6622751990129117
2017-12-31,1.6704828201130437
2018-01-31,1.7176979624377522
2018-02-28,1.6628727743880931
2018-03-31,1.6452307543552147
2018-04-30,1.6501812300645822
2018-05-31,1.650728850286259
2018-06-30,1.63118423318403
2018-07-31,1.6549106201493957
2018-08-31,1.645517992975283
2018-09-30,1.670675872095742
2018-10-31,1.5610867853197599
2018-11-30,1.5674904489364487
2018-12-31,1.5066716604141088
2019-01-31,1.5709439837061365
2019-02-28,1.6451506801165
2019-03-31,1.680353793480433
2019-04-30,1.7162302992307474
2019-05-31,1.635321724385911
2019-06-30,1.6977608381559774
2019-07-31,1.703583082211536
2019-08-31,1.6775862678759634
2019-09-30,1.7047920883128571
2019-10-31,1.7411560175293925
2019-11-30,1.7565092742588584
2019-12-31,1.8128370719499802
2020-01-31,1.801795215355688
2020-02-29,1.7270275102681756
2020-03-31,1.5687441870714152
2020-04-30,1.66321063766417
2020-05-31,1.7123060897831546
2020-06-30,1.7724850991868362
2020-07-31,1.8847073716731702
2020-08-31,1.926674615300883
2020-09-30,1.8758368523814692
2020-10-31,1.8703751291499975
2020-11-30,1.9781735927120292
2020-12-31,2.0401514076729494
2021-01-31,2.0421764429602
2021-02-28,2.052114768943261
2021-03-31,2.0428932966739217
2021-04-30,2.0905813930586645
2021-05-31,2.1130926748085326
2021-06-30,2.1309768403871696
2021-07-31,2.0852841243750353
2021-08-31,2.1291296564760906
2021-09-30,2.1097102803786525
2021-10-31,2.1200831301119276
2021-11-30,2.1073274511881546
2021-12-31,2.1643364537209027
2022-01-31,2.0716026972479678
2022-02-28,2.0412042085078927
2022-03-31,2.0309302173857384
2022-04-30,1.9251768926667037
2022-05-31,1.9440658857089574
2022-06-30,1.84378864415009
2022-07-31,1.9121721372493528
2022-08-31,1.8699337514634278
2022-09-30,1.7108909200475826
2022-10-31,1.7234304554210391
2022-11-30,1.876707187122161
2022-12-31,1.8182534927964211
2023-01-31,1.9321294696503755
2023-02-28,1.922311092648627
2023-03-31,1.9712586231638811
2023-04-30,1.973236454677145
2023-05-31,2.0039882826535016
2023-06-30,2.0555781919352336
2023-07-31,2.1001713954521644
2023-08-31,2.0453719661749945
2023-09-30,1.9932495006740243
2023-10-31,1.9487715868890259
2023-11-30,2.067841461844645
2023-12-31,2.122830268942646
2024-01-31,2.1024786749317848
2024-02-29,2.182758879071857
2024-03-31,2.2304390556708986
2024-04-30,2.2017292791632044
2024-05-31,2.2548918799760704
2024-06-30,2.279304186193443
2024-07-31,2.284218195250429
2024-08-31,2.2964036498890867
2024-09-30,2.40264471234237
2024-10-31,2.365204375168075
2024-11-30,2.3831087447642356
2024-12-31,2.3862352732029684
2025-01-31,2.4070876044120477
2025-02-28,2.400763749479583
2025-03-31,2.3317959289264794
2025-04-30,2.3353292967876125
2025-05-31,2.4199170803426844
2025-06-30,2.5070050975736407
2025-07-31,2.560737388027737
2025-08-31,2.6240643557177123
2025-09-30,2.7194720265383885
2025-10-31,2.875259268129804
