,NAV_A
2012-01-31,1.045106012597075
2012-02-29,1.0980905825808134
2012-03-31,1.0542356109700506
2012-04-30,1.0799965653985166
2012-05-31,1.054773996601187
2012-06-30,1.0296341990418472
2012-07-31,1.0102473749926193
2012-08-31,1.0038312566884675
2012-09-30,1.029537077882362
2012-10-31,1.0183684072173675
2012-11-30,1.010869793930871
2012-12-31,1.0849060748088861
2013-01-31,1.112373982903512
2013-02-28,1.1088595486948754
2013-03-31,1.0872292122443035
2013-04-30,1.0899041613595442
2013-05-31,1.109539707127241
2013-06-30,1.0305332302136332
2013-07-31,1.045501045475536
2013-08-31,1.0546739734192538
2013-09-30,1.0858855419956386
2013-10-31,1.1025756602222698
2013-11-30,1.118338059170203
2013-12-31,1.108079566041442
2014-01-31,1.0828295345555505
2014-02-28,1.1027628667149967
2014-03-31,1.1072258858772412
2014-04-30,1.1078455720961544
2014-05-31,1.1274232124113104
2014-06-30,1.1440006019012248
2014-07-31,1.1723972953079826
2014-08-31,1.1823343057283933
2014-09-30,1.1832269213601894
2014-10-31,1.1983170710161128
2014-11-30,1.2553461693850854
2014-12-31,1.3599289700496917
2015-01-31,1.363891601045961
2015-02-28,1.4004996192988535
2015-03-31,1.4174103915597365
2015-04-30,1.4869972896701478
2015-05-31,1.4838035053144099
2015-06-30,1.4284284855765295
2015-07-31,1.3552523104142784
2015-08-31,1.2769739163376843
2015-09-30,1.2584820447238891
2015-10-31,1.3274885409282156
2015-11-30,1.309985977522078
2015-12-31,1.304969874397051
2016-01-31,1.246644207257658
2016-02-29,1.2398080920940433
2016-03-31,1.3051399743963217
2016-04-30,1.292940404088002
2016-05-31,1.3077645272623497
2016-06-30,1.300644396496292
2016-07-31,1.3482415609458358
2016-08-31,1.3681967791515421
2016-09-30,1.3713513960905046
2016-10-31,1.3797749974776257
2016-11-30,1.376117371352753
2016-12-31,1.390536210817301
2017-01-31,1.4151166577433538
2017-02-28,1.4462224792343583
2017-03-31,1.4543571285748678
2017-04-30,1.4698529994812595
2017-05-31,1.494237123203597
2017-06-30,1.5087089153049162
2017-07-31,1.5297911157873572
2017-08-31,1.5438032239946347
2017-09-30,1.548814197308391
2017-10-31,1.5971872917385308
2017-11-30,1.5970779621234712
2017-12-31,1.606869169221999
2018-01-31,1.65228631186395
2018-02-28,1.599548921623783
2018-03-31,1.5825787272989407
2018-04-30,1.5873406839587685
2018-05-31,1.587867450256548
2018-06-30,1.5690671116552237
2018-07-31,1.5921955121099234
2018-08-31,1.5883479582056845
2018-09-30,1.6132139058343078
2018-10-31,1.5025782171761117
2018-11-30,1.5118402495855843
2018-12-31,1.4517678744337152
2019-01-31,1.5136980856550093
2019-02-28,1.5852006570160524
2019-03-31,1.6191209532588047
2019-04-30,1.6536901031696272
2019-05-31,1.5757298728075155
2019-06-30,1.6358936774778574
2019-07-31,1.6415205802281827
2019-08-31,1.6155113842132873
2019-09-30,1.641422787757395
2019-10-31,1.6797197052650672
2019-11-30,1.6942188993768241
2019-12-31,1.7512408304184575
2020-01-31,1.7405741519779336
2020-02-29,1.6683468900954879
2020-03-31,1.5154416882737238
2020-04-30,1.60669837534312
2020-05-31,1.6541256713031136
2020-06-30,1.7122599294957173
2020-07-31,1.8011651684321548
2020-08-31,1.8639098093373092
2020-09-30,1.8112442420319417
2020-10-31,1.7909543725457369
2020-11-30,1.9244909227307674
2020-12-31,1.9849864699292241
2021-01-31,1.9869567490130235
2021-02-28,1.9966263463458134
2021-03-31,1.9876542192680766
2021-04-30,2.034052847205386
2021-05-31,2.0559554322420626
2021-06-30,2.0733560166134253
2021-07-31,2.050051228958621
2021-08-31,2.08372694709796
2021-09-30,2.044114681448081
2021-10-31,2.0578511154640653
2021-11-30,2.0529392135794144
2021-12-31,2.0952729045733487
2022-01-31,2.0054982639702197
2022-02-28,1.9760697850072766
2022-03-31,1.9661236349144533
2022-04-30,1.8637448779187935
2022-05-31,1.882031126920453
2022-06-30,1.7849537123519201
2022-07-31,1.8299387838973509
2022-08-31,1.8079346334702209
2022-09-30,1.6666367560552815
2022-10-31,1.677179788263459
2022-11-30,1.804127002610265
2022-12-31,1.749204929200173
2023-01-31,1.8587564415825693
2023-02-28,1.8493109195383408
2023-03-31,1.8963996571586264
2023-04-30,1.8983023800989833
2023-05-31,1.927886400859163
2023-06-30,1.9775171723495601
2023-07-31,2.0179659321724817
2023-08-31,1.9679207280693547
2023-09-30,1.9151079105897084
2023-10-31,1.8774415319609332
2023-11-30,2.0135566326021364
2023-12-31,2.0772356788500987
2024-01-31,2.0573212006087984
2024-02-29,2.135877129825027
2024-03-31,2.1825332216729807
2024-04-30,2.1544400797171237
2024-05-31,2.206460843131222
2024-06-30,2.2303488167575813
2024-07-31,2.2367144008182653
2024-08-31,2.251518913222809
2024-09-30,2.356843916532842
2024-10-31,2.3156557203133454
2024-11-30,2.3456141999767697
2024-12-31,2.3424513599958683
2025-01-31,2.362921081547771
2025-02-28,2.3567132600670813
2025-03-31,2.2890108977456487
2025-04-30,2.292479433495088
2025-05-31,2.375515155434465
2025-06-30,2.4610052354332304
2025-07-31,2.5066029941809207
2025-08-31,2.5673565396420277
2025-09-30,2.6543740416663373
2025-10-31,2.7998090046358777
