,NAV_M
2012-01-31,1.045106012597075
2012-02-29,1.097398593476964
2012-03-31,1.06364444161947
2012-04-30,1.0912855160813384
2012-05-31,1.0650421878722642
2012-06-30,1.045180882714675
2012-07-31,1.0266376931691887
2012-08-31,1.0185695443545
2012-09-30,1.0451692320406487
2012-10-31,1.034747005669632
2012-11-30,1.0289811921658951
2012-12-31,1.1048825256576091
2013-01-31,1.1328562022502742
2013-02-28,1.1297727869875382
2013-03-31,1.1140170011247743
2013-04-30,1.116484158267419
2013-05-31,1.1374234466581874
2013-06-30,1.057488211278449
2013-07-31,1.0677683511460325
2013-08-31,1.0832071434323187
2013-09-30,1.1142927753023866
2013-10-31,1.128934723550474
2013-11-30,1.1416794451751657
2013-12-31,1.1287650545132573
2014-01-31,1.1030436586495533
2014-02-28,1.123280273164529
2014-03-31,1.1277517368956236
2014-04-30,1.1281331761452769
2014-05-31,1.1480533400321484
2014-06-30,1.166328157221825
2014-07-31,1.1937411495437988
2014-08-31,1.2044269428736858
2014-09-30,1.1967256571586757
2014-10-31,1.2085054081455016
2014-11-30,1.251790497648834
2014-12-31,1.302212248992865
2015-01-31,1.3060067020380062
2015-02-28,1.3428511614846492
2015-03-31,1.3585379365338877
2015-04-30,1.4048578560901839
2015-05-31,1.3986421490820615
2015-06-30,1.3618450933125912
2015-07-31,1.3344848248118122
2015-08-31,1.260680525953018
2015-09-30,1.2296062967202603
2015-10-31,1.3042992146143355
2015-11-30,1.2971584247128578
2015-12-31,1.2825661495569753
2016-01-31,1.22524181756205
2016-02-29,1.2153149218197932
2016-03-31,1.284653830104087
2016-04-30,1.2751601671502537
2016-05-31,1.2900330374453874
2016-06-30,1.2793501184846556
2016-07-31,1.3271332918335799
2016-08-31,1.3480870434306111
2016-09-30,1.3462436524796841
2016-10-31,1.3590645974229527
2016-11-30,1.3634458958449676
2016-12-31,1.379029519526164
2017-01-31,1.4034065631806039
2017-02-28,1.432599734363945
2017-03-31,1.4374351470154807
2017-04-30,1.4566078884504063
2017-05-31,1.4802068907270174
2017-06-30,1.499847348114331
2017-07-31,1.5140363801481476
2017-08-31,1.5215290203207812
2017-09-30,1.5353718443011835
2017-10-31,1.591645024830191
2017-11-30,1.5950211511331134
2017-12-31,1.603113691156531
2018-01-31,1.6484246875818176
2018-02-28,1.596001125429495
2018-03-31,1.5743260989760062
2018-04-30,1.5852721330507336
2018-05-31,1.5900037498095017
2018-06-30,1.5651342763624392
2018-07-31,1.5878999338144155
2018-08-31,1.5785584410634677
2018-09-30,1.6033274430517352
2018-10-31,1.4991963504032484
2018-11-30,1.50670888491781
2018-12-31,1.4517909509913216
2019-01-31,1.5137221466234931
2019-02-28,1.5858572192475586
2019-03-31,1.6159986707038132
2019-04-30,1.6567991810657345
2019-05-31,1.5802267361328943
2019-06-30,1.6436722018026395
2019-07-31,1.6493089561034553
2019-08-31,1.624258811933406
2019-09-30,1.6496668865197834
2019-10-31,1.6821358353931557
2019-11-30,1.694464581970917
2019-12-31,1.7550376429557164
2020-01-31,1.7443478384107012
2020-02-29,1.6730233556662306
2020-03-31,1.5171462165148217
2020-04-30,1.6181546550736607
2020-05-31,1.6570325852472159
2020-06-30,1.720368269512971
2020-07-31,1.8292908420111542
2020-08-31,1.8707248262472653
2020-09-30,1.829390002288604
2020-10-31,1.8245971036937731
2020-11-30,1.9328159302362873
2020-12-31,1.9937587778341501
2021-01-31,1.995737764229079
2021-02-28,2.0043493031652746
2021-03-31,2.0074787016953066
2021-04-30,2.054469711721267
2021-05-31,2.079067433242491
2021-06-30,2.100899101698861
2021-07-31,2.055851316943662
2021-08-31,2.0995270166677047
2021-09-30,2.0869133203365138
2021-10-31,2.094870926821864
2021-11-30,2.08095617136855
2021-12-31,2.1389560555913834
2022-01-31,2.0473097546548935
2022-02-28,2.0181085912733483
2022-03-31,2.018907653211765
2022-04-30,1.9134149028703191
2022-05-31,1.9326407436111699
2022-06-30,1.8232612839279134
2022-07-31,1.890883446491514
2022-08-31,1.8571616283173054
2022-09-30,1.7057103444101134
2022-10-31,1.7133871623751324
2022-11-30,1.8849242738996597
2022-12-31,1.830872334625122
2023-01-31,1.9455386209412622
2023-02-28,1.9337726214404527
2023-03-31,1.9863782316505207
2023-04-30,2.00195241321474
2023-05-31,2.0194367936581186
2023-06-30,2.0777555714635527
2023-07-31,2.122829885552029
2023-08-31,2.068400137303992
2023-09-30,2.016415581078212
2023-10-31,1.9720596145714777
2023-11-30,2.0952757213783486
2023-12-31,2.1516600474414647
2024-01-31,2.131032062069497
2024-02-29,2.215703806820438
2024-03-31,2.2636225924440945
2024-04-30,2.2302481025166854
2024-05-31,2.285688767772183
2024-06-30,2.322418796284909
2024-07-31,2.3274257572110484
2024-08-31,2.3383148029543674
2024-09-30,2.445973474874316
2024-10-31,2.421663975418221
2024-11-30,2.4268886844600965
2024-12-31,2.447535690178762
2025-01-31,2.468923700586111
2025-02-28,2.45800682405262
2025-03-31,2.3746136578226302
2025-04-30,2.3803980306009596
2025-05-31,2.4771102778673786
2025-06-30,2.5814408038781727
2025-07-31,2.636768464439487
2025-08-31,2.702145970599136
2025-09-30,2.799633938533902
2025-10-31,2.9592686429079254
