,NAV_Q
2012-01-31,1.045106012597075
2012-02-29,1.0980905825808134
2012-03-31,1.0542356109700506
2012-04-30,1.081632176855177
2012-05-31,1.0571770331811028
2012-06-30,1.0308209898393619
2012-07-31,1.012532567884676
2012-08-31,1.0062485755998454
2012-09-30,1.0332867554987095
2012-10-31,1.0229830188962128
2012-11-30,1.0131500762760104
2012-12-31,1.090686082678383
2013-01-31,1.1183003303766228
2013-02-28,1.1147671724665944
2013-03-31,1.093021596994132
2013-04-30,1.0954422566764945
2013-05-31,1.11478771078824
2013-06-30,1.032593297281513
2013-07-31,1.0426314266990975
2013-08-31,1.058036867504132
2013-09-30,1.0887751163804773
2013-10-31,1.1030817593572502
2013-11-30,1.114222770761704
2013-12-31,1.1015730265583832
2014-01-31,1.0764712608936897
2014-02-28,1.0962875463926798
2014-03-31,1.1007243591241926
2014-04-30,1.101096656909142
2014-05-31,1.1236212194622068
2014-06-30,1.1431996679886505
2014-07-31,1.1700690559280646
2014-08-31,1.1802399745061618
2014-09-30,1.1825268432337355
2014-10-31,1.19416683078243
2014-11-30,1.237233604445318
2014-12-31,1.3072573490364585
2015-01-31,1.3110665027536585
2015-02-28,1.3462566501427575
2015-03-31,1.3625124486460527
2015-04-30,1.408967880856328
2015-05-31,1.4002270299678303
2015-06-30,1.354149566508111
2015-07-31,1.3269439056647376
2015-08-31,1.2566431453175333
2015-09-30,1.2260242283122607
2015-10-31,1.3004995520526592
2015-11-30,1.2953556073378694
2015-12-31,1.2802345728705786
2016-01-31,1.2230144507646235
2016-02-29,1.2163079120557294
2016-03-31,1.2804014486768203
2016-04-30,1.2709392110572482
2016-05-31,1.2880209871200083
2016-06-30,1.2683908054475193
2016-07-31,1.3157646531966154
2016-08-31,1.3369013754738526
2016-09-30,1.3327017391461147
2016-10-31,1.3453937177429445
2016-11-30,1.3508882330420575
2016-12-31,1.3657557791890758
2017-01-31,1.3898981835242894
2017-02-28,1.4204496751987084
2017-03-31,1.4284393587913045
2017-04-30,1.4474921129544678
2017-05-31,1.4756283540053052
2017-06-30,1.4919728657756826
2017-07-31,1.5060874027068516
2017-08-31,1.5144494673823807
2017-09-30,1.5261780268237841
2017-10-31,1.5821142431492492
2017-11-30,1.5867485515196151
2017-12-31,1.5943976798937611
2018-01-31,1.6394623237631751
2018-02-28,1.5871342473689503
2018-03-31,1.5702957648234326
2018-04-30,1.5812137766383523
2018-05-31,1.5847358194105026
2018-06-30,1.5719103160497911
2018-07-31,1.594774534373338
2018-08-31,1.5857232161657204
2018-09-30,1.6099669091311621
2018-10-31,1.505404603968694
2018-11-30,1.5119174988951973
2018-12-31,1.4578409579533567
2019-01-31,1.520030237688123
2019-02-28,1.5918319209770382
2019-03-31,1.625894113727986
2019-04-30,1.6669444628632695
2019-05-31,1.587495870983803
2019-06-30,1.6526344693738204
2019-07-31,1.6583019585743455
2019-08-31,1.6329961378136646
2019-09-30,1.659478829374886
2019-10-31,1.6921408981281045
2019-11-30,1.704766169353572
2019-12-31,1.762458661847285
2020-01-31,1.7517236564247882
2020-02-29,1.6790337321635938
2020-03-31,1.5251490735196531
2020-04-30,1.6266903256473286
2020-05-31,1.6750039304495647
2020-06-30,1.738080347391986
2020-07-31,1.8481243339042837
2020-08-31,1.889276974012233
2020-09-30,1.8394259954758592
2020-10-31,1.8346068031450913
2020-11-30,1.937433281901811
2020-12-31,1.9986591996950962
2021-01-31,2.0006430502031267
2021-02-28,2.01037925241876
2021-03-31,2.0013453246835287
2021-04-30,2.04819276477751
2021-05-31,2.068479787202451
2021-06-30,2.0908988107596485
2021-07-31,2.046065453700361
2021-08-31,2.089086367484936
2021-09-30,2.070032218411945
2021-10-31,2.0779254555893583
2021-11-30,2.0656793658021373
2021-12-31,2.1231404625157166
2022-01-31,2.0321718008410112
2022-02-28,2.0023519170921493
2022-03-31,1.9922734811699194
2022-04-30,1.8881724299769178
2022-05-31,1.9022946044299722
2022-06-30,1.797966062134587
2022-07-31,1.8646500609718646
2022-08-31,1.8234614006536707
2022-09-30,1.668371166087607
2022-10-31,1.6758799332016214
2022-11-30,1.828518825848889
2022-12-31,1.7730627122587594
2023-01-31,1.8841084213316226
2023-02-28,1.874534069776315
2023-03-31,1.9222650608386607
2023-04-30,1.9373365636345714
2023-05-31,1.9618459220614457
2023-06-30,2.028146475436156
2023-07-31,2.072144582098361
2023-08-31,2.0180764518854355
2023-09-30,1.966649561333871
2023-10-31,1.92338831950873
2023-11-30,2.0436626893626473
2023-12-31,2.098978085826379
2024-01-31,2.0788551629222747
2024-02-29,2.158233336335832
2024-03-31,2.2053777770732306
2024-04-30,2.1728620394000204
2024-05-31,2.2260745585896298
2024-06-30,2.2680867938127234
2024-07-31,2.272976619012158
2024-08-31,2.2851021040219934
2024-09-30,2.3908203105564825
2024-10-31,2.367058955154998
2024-11-30,2.371299112113794
2024-12-31,2.3848701794726184
2025-01-31,2.405710581687556
2025-02-28,2.3993903444430935
2025-03-31,2.330461978314493
2025-04-30,2.3361388010615887
2025-05-31,2.4364362642549127
2025-06-30,2.542885658515724
2025-07-31,2.5973869720260803
2025-08-31,2.6616202829563136
2025-09-30,2.758393439930383
2025-10-31,2.9156766173021804
