,SPX_Index,SXXP_Index,NKY_Index,MXMS_Index,SHCOMP_Index,TWSE_Index,投資級債,非投資級債,新興市場債,科技
2012-01-31,0.10656,0.093873,0.06407,0.074627,0.235697,0.0,0.086219,0.112033,0.101747,0.125173
2012-02-29,0.112632,0.101,0.056163,0.065855,0.235305,0.0,0.087089,0.110986,0.101926,0.129044
2012-03-31,0.141924,0.121149,0.040633,0.044835,0.191367,0.0,0.088407,0.110045,0.101548,0.160092
2012-04-30,0.095736,0.088405,0.011332,0.093708,0.297843,0.0,0.088363,0.110148,0.10149,0.112975
2012-05-31,0.100776,0.095227,0.062452,0.095683,0.227133,0.0,0.088483,0.110266,0.10125,0.118729
2012-06-30,0.09552,0.085027,0.115218,0.099856,0.188358,0.0,0.086731,0.111461,0.101808,0.116021
2012-07-31,0.088904,0.070578,0.106394,0.1027,0.227226,0.0,0.087627,0.110909,0.101464,0.104198
2012-08-31,0.083373,0.054463,0.130115,0.09219,0.242146,0.0,0.08816,0.110881,0.100959,0.097714
2012-09-30,0.083639,0.048729,0.115687,0.108736,0.24575,0.0,0.088775,0.110331,0.100895,0.097459
2012-10-31,0.08747,0.053981,0.128535,0.094834,0.235994,0.0,0.089107,0.109934,0.100958,0.099186
2012-11-30,0.101769,0.050575,0.103352,0.102491,0.226986,0.0,0.089542,0.10968,0.100778,0.114827
2012-12-31,0.110516,0.050117,0.069826,0.092166,0.255033,0.0,0.089711,0.109437,0.100852,0.122342
2013-01-31,0.13137,0.06858,0.052482,0.102243,0.201582,0.0,0.090725,0.109169,0.101305,0.142543
2013-02-28,0.121398,0.068431,0.050731,0.105044,0.182708,0.008434,0.101314,0.118587,0.11183,0.131523
2013-03-31,0.121868,0.065657,0.165743,0.065873,0.147395,0.0,0.090488,0.107791,0.101721,0.133464
2013-04-30,0.06846,0.019651,0.09894,0.110957,0.238616,0.0842,0.090824,0.108094,0.101082,0.079175
2013-05-31,0.072035,0.022695,0.067696,0.116717,0.246442,0.091774,0.091233,0.107643,0.101125,0.082641
2013-06-30,0.063512,0.020794,0.11082,0.110858,0.215996,0.104854,0.090544,0.107953,0.101503,0.073166
2013-07-31,0.04758,0.014208,0.103201,0.108218,0.273896,0.09364,0.089247,0.1086,0.102153,0.059257
2013-08-31,0.042725,0.002394,0.12086,0.108885,0.273598,0.09798,0.089857,0.107823,0.10232,0.053558
2013-09-30,0.048342,0.0,0.148462,0.105086,0.238789,0.098665,0.089293,0.107805,0.102902,0.060656
2013-10-31,0.055404,0.0,0.127414,0.105641,0.23665,0.107714,0.089656,0.108011,0.102333,0.067177
2013-11-30,0.051907,0.0,0.135741,0.095861,0.258876,0.094327,0.090438,0.107409,0.102153,0.063289
